class,method,signature,source,protocol,validation,conversion,return_expr,doc
MyArmMCProcessor,__init__,"self, port, baudrate=115200, timeout=0.1, debug=False",pymycobot/myarm_api.py:L23-L34,,,,,"Args: /     port     : port string /     baudrate : baud rate string, default '115200' /     timeout  : default 0.1 /     debug    : whether show debug info"
MyArmMCProcessor,_read_command_buffer,"self, timeout=0.1",pymycobot/myarm_api.py:L47-L67,,,,commands,
MyArmMCProcessor,_read,"self, genre",pymycobot/myarm_api.py:L69-L87,,,,command_buffer,
MyArmMCProcessor,_write,"self, command",pymycobot/myarm_api.py:L89-L93,,,,,
MyArmMCProcessor,_mesg,"self, genre, *args, **kwargs",pymycobot/myarm_api.py:L95-L178,genre,,_int2angle; _int2coord,None; result; res; res[0]; [self._int2angle(angle) for angle in res]; r; [self._int2coord(angle) for angle in res]; self._int2coord(res[0]),"Args: /     genre: command type (Command) /     *args: other data. /            It is converted to octal by default. /            If the data needs to be encapsulated into hexadecimal, /            the array is used to include them. (Data cannot be nested) /  "
MyArmAPI,get_robot_modified_version,self,pymycobot/myarm_api.py:L183-L189,ProtocolCode.GET_ROBOT_MODIFIED_VERSION (0x01),,,"self._mesg(ProtocolCode.GET_ROBOT_MODIFIED_VERSION, has_reply=True)",Get the bot correction version number /  / Returns: /         version (int): the bot correction version number
MyArmAPI,get_robot_firmware_version,self,pymycobot/myarm_api.py:L191-L197,ProtocolCode.GET_ROBOT_FIRMWARE_VERSION (0x02),,,"self._mesg(ProtocolCode.GET_ROBOT_FIRMWARE_VERSION, has_reply=True)",Obtaining the Robot Firmware Version (Major and Minor Versions) /  / Returns: /         version (int): the robot firmware
MyArmAPI,get_robot_tool_modified_version,self,pymycobot/myarm_api.py:L199-L201,ProtocolCode.GET_ROBOT_ATOM_MODIFIED_VERSION (0x04),,,"self._mesg(ProtocolCode.GET_ROBOT_ATOM_MODIFIED_VERSION, has_reply=True)",Get the remediation version of the bot tool
MyArmAPI,get_robot_tool_firmware_version,self,pymycobot/myarm_api.py:L203-L205,ProtocolCode.GET_ROBOT_TOOL_FIRMWARE_VERSION (0x09),,,"self._mesg(ProtocolCode.GET_ROBOT_TOOL_FIRMWARE_VERSION, has_reply=True)",Get the Robot Tool Firmware Version (End Atom)
MyArmAPI,set_robot_err_check_state,"self, status",pymycobot/myarm_api.py:L207-L214,ProtocolCode.SET_ROBOT_ERROR_CHECK_STATE (0x06),status=status,,,"Set Error Detection Status You can turn off error detection, but do not turn it off unless necessary /  / Args: /     status (int): 1 open; o close"
MyArmAPI,get_robot_err_check_state,self,pymycobot/myarm_api.py:L216-L218,ProtocolCode.GET_ROBOT_ERROR_CHECK_STATE (0x07),,,"self._mesg(ProtocolCode.GET_ROBOT_ERROR_CHECK_STATE, has_reply=True)",Read error detection status
MyArmAPI,get_robot_error_status,self,pymycobot/myarm_api.py:L220-L227,ProtocolCode.GET_ROBOT_ERROR_STATUS (0x15),,,"self._mesg(ProtocolCode.GET_ROBOT_ERROR_STATUS, has_reply=True, timeout=90)","Get the bot error status /  / Returns: /     No error: [0,0,0,0,0,0,0,0] /     assuming that error 1 and 3 are reported in section 1, it should return: [[1,3],0,0,0,0,0,0,0]"
MyArmAPI,get_recv_queue_max_len,self,pymycobot/myarm_api.py:L229-L231,ProtocolCode.GET_RECV_QUEUE_SIZE (0x17),,,"self._mesg(ProtocolCode.GET_RECV_QUEUE_SIZE, has_reply=True)","The total length of the read command queue, the default length is 100"
MyArmAPI,set_recv_queue_max_len,"self, max_len",pymycobot/myarm_api.py:L233-L236,ProtocolCode.SET_RECV_QUEUE_SIZE (0x18),maximum_queue_length=max_len,,,Set the total length of the receiving command queue
MyArmAPI,get_recv_queue_len,self,pymycobot/myarm_api.py:L238-L240,ProtocolCode.GET_RECV_QUEUE_LENGTH (0x08),,,"self._mesg(ProtocolCode.GET_RECV_QUEUE_LENGTH, has_reply=True)",The current length of the read receive queue
MyArmAPI,clear_recv_queue,self,pymycobot/myarm_api.py:L242-L244,ProtocolCode.CLEAR_RECV_QUEUE (0x19),,,self._mesg(ProtocolCode.CLEAR_RECV_QUEUE),Clear the read receive queue
MyArmAPI,get_joint_angle,"self, joint_id",pymycobot/myarm_api.py:L246-L257,ProtocolCode.COBOTX_GET_ANGLE (0x1C),joint_id=joint_id,,"self._mesg(ProtocolCode.COBOTX_GET_ANGLE, joint_id, has_reply=True)","Obtain the current angle of the specified joint, when the obtained angle is 200, / it means that the joint has no communication / Args: /     joint_id (int): 0 - 254 /  / Returns: /     angle (int)"
MyArmAPI,get_joints_angle,self,pymycobot/myarm_api.py:L259-L266,ProtocolCode.GET_ANGLES (0x20),,,"self._mesg(ProtocolCode.GET_ANGLES, has_reply=True)","Obtain the current angle of all joints, if one of the angles is 200��, / it means that the joint has no communication /  / Returns: /     angles list(int): 0 - 254"
MyArmAPI,get_joints_coord,self,pymycobot/myarm_api.py:L268-L273,ProtocolCode.GET_JOINTS_COORD (0x23),,,"self._mesg(ProtocolCode.GET_JOINTS_COORD, has_reply=True)",Get the coordinates / Returns: /     list[float] * 6: joints angle
