class,method,signature,source,protocol,validation,conversion,return_expr,doc
MyArmM,__init__,"self, port, baudrate='1000000', timeout=0.1, debug=False",pymycobot/myarmm.py:L9-L10,,,,,
MyArmM,set_joint_angle,"self, joint_id, angle, speed",pymycobot/myarmm.py:L12-L21,ProtocolCode.SEND_ANGLE (0x21),"joint_id=joint_id, angle=angle, speed=speed",_angle2int,,Sets the individual joints to move to the target angle /  / Args: /     joint_id (int) : 0 - 254 /     angle (int) : 0 - 254 /     speed (int) : 1 - 100
MyArmM,set_joints_angle,"self, angles, speed",pymycobot/myarmm.py:L23-L32,ProtocolCode.SEND_ANGLES (0x22),"angles=angles, speed=speed",,"self._mesg(ProtocolCode.SEND_ANGLES, angles, speed)",Sets all joints to move to the target angle /  / Args: /     angles (list[int]):  0 - 254 /     speed (int): 0 - 100
MyArmM,is_robot_moving,self,pymycobot/myarmm.py:L34-L41,ProtocolCode.IS_MOVING (0x2B),,,"self._mesg(ProtocolCode.IS_MOVING, has_reply=True)",See if the robot is moving /  / Returns: /     1: moving /     0: not moving
MyArmM,stop_robot,self,pymycobot/myarmm.py:L43-L45,ProtocolCode.STOP (0x29),,,,The robot stops moving
MyArmM,set_servo_encoder,"self, servo_id, encoder, speed",pymycobot/myarmm.py:L47-L57,ProtocolCode.SET_ENCODER (0x3A),"servo_id=servo_id, encoder=encoder, speed=speed",,,Sets the individual motor motion to the target encoder potential value /  / Args: /     servo_id: (int) 0 - 254 /     encoder: (int) 0 - 4095 /     speed: (int) 1 - 100
MyArmM,set_servos_encoder,"self, positions, speed",pymycobot/myarmm.py:L59-L67,ProtocolCode.SET_ENCODERS (0x3C),"encoders=positions, speed=speed",,,Set the encoder potential value for multiple motors moving to the target /  / Args: /     positions (list[int * 8]): 0 - 4095: /     speed (int): 1 - 100:
MyArmM,set_servos_encoder_drag,"self, encoders, speeds",pymycobot/myarmm.py:L69-L77,ProtocolCode.SET_ENCODERS_DRAG (0x3E),"encoders=encoders, drag_speeds=speeds",,,Set multiple servo motors with a specified speed to the target encoder potential value / Args: /     encoders (list[int * 8]): 0 - 4095: /     speeds (list[int * 8]): -10000 - 10000:
MyArmM,set_assist_out_io_state,"self, io_number, status=1",pymycobot/myarmm.py:L79-L88,ProtocolCode.SET_AUXILIARY_PIN_STATUS (0xA0),"assist_io_number=io_number, status=status",,,Set the auxiliary pin status /  / Args: /     io_number: 1 - 6 /     status: 0/1; 0: low; 1: high. default: 1
MyArmM,get_assist_in_io_state,"self, io_number",pymycobot/myarmm.py:L90-L101,ProtocolCode.GET_AUXILIARY_PIN_STATUS (0xA1),assist_io_number=io_number,,"self._mesg(ProtocolCode.GET_AUXILIARY_PIN_STATUS, io_number, has_reply=True)",Get the auxiliary pin status /  / Args: /     io_number (int): 1 - 6 /  / Returns: /     0 or 1. 1: high 0: low
MyArmM,get_robot_power_status,self,pymycobot/myarmm.py:L103-L108,ProtocolCode.IS_POWER_ON (0x12),,,"self._mesg(ProtocolCode.IS_POWER_ON, has_reply=True)","Get the robot power status / Returns: /     power_status (int): 0: power off, 1: power on"
MyArmM,set_robot_power_on,self,pymycobot/myarmm.py:L110-L112,ProtocolCode.POWER_ON (0x10),,,"self._mesg(ProtocolCode.POWER_ON, has_reply=True)",Set the robot to power on
MyArmM,set_robot_power_off,self,pymycobot/myarmm.py:L114-L116,ProtocolCode.POWER_OFF (0x11),,,"self._mesg(ProtocolCode.POWER_OFF, has_reply=True)",Set the robot to power off
MyArmM,clear_robot_err,self,pymycobot/myarmm.py:L118-L120,ProtocolCode.CLEAR_ROBOT_ERROR (0x16),,,,Clear the robot abnormality Ignore the error joint and continue to move
MyArmM,set_servo_enabled,"self, servo_id, status",pymycobot/myarmm.py:L122-L131,ProtocolCode.RELEASE_ALL_SERVOS (0x13),"status=status, servo_id=servo_id",,,Set the servo motor torque switch / Args: /     servo_id (int): 0-254 254-all /     status: 0/1 /         1-focus /         0-release
MyArmM,get_joints_max,self,pymycobot/myarmm.py:L133-L135,ProtocolCode.GET_JOINT_MAX_ANGLE (0x4B),,,"self._mesg(ProtocolCode.GET_JOINT_MAX_ANGLE, has_reply=True)",Read the maximum angle of all joints
MyArmM,get_joints_min,self,pymycobot/myarmm.py:L137-L139,ProtocolCode.GET_JOINT_MIN_ANGLE (0x4A),,,"self._mesg(ProtocolCode.GET_JOINT_MIN_ANGLE, has_reply=True)",Read the minimum angle of all joints
MyArmM,is_tool_btn_clicked,self,pymycobot/myarmm.py:L141-L147,ProtocolCode.GET_ATOM_PRESS_STATUS (0x6B),,,"self._mesg(ProtocolCode.GET_ATOM_PRESS_STATUS, has_reply=True)","get the end button status /  / Returns: /     int: 0/1, 1: press, 0: no press"
MyArmM,clear_recv_queue,self,pymycobot/myarmm.py:L149-L151,ProtocolCode.CLEAR_RECV_QUEUE (0x19),,,,Clear the queue for receiving commands
MyArmM,is_sd_insert,self,pymycobot/myarmm.py:L153-L159,ProtocolCode.IS_SD_INSERT (0xC4),,,"self._mesg(ProtocolCode.IS_SD_INSERT, has_reply=True)","Check if the SD card is inserted /  / Returns: /     int: 0/1, 1: insert, 0: no insert"
