class,method,signature,source,protocol,validation,conversion,return_expr,doc
MyArmMProcessor,__init__,"self, port, baudrate, timeout=0.1, debug=False",pymycobot/myarmm_control.py:L49-L55,,,,,
MyArmMProcessor,_mesg,"self, genre, *args, **kwargs",pymycobot/myarmm_control.py:L70-L77,genre,,,self._read_genre_result(genre),
MyArmMProcessor,_read_genre_result,"self, genre",pymycobot/myarmm_control.py:L79-L171,,,_int2angle; _int2coord,-1; self._process_single(res); 1; data[-2]; [self._int2angle(angle) for angle in res]; r; [self._int2coord(angle) for angle in res]; self._int2coord(res[0]); self._int2coord(self._process_single(res)); res,
MyArmMControl,__init__,"self, port, baudrate=115200, timeout=0.1, debug=False",pymycobot/myarmm_control.py:L176-L177,,,,,
MyArmMControl,get_robot_modify_version,self,pymycobot/myarmm_control.py:L180-L182,RobotProtocolCode.GET_ROBOT_MODIFY_VERSION (0x01),,,self._mesg(RobotProtocolCode.GET_ROBOT_MODIFY_VERSION),Get the bot correction version number
MyArmMControl,get_robot_system_version,self,pymycobot/myarmm_control.py:L184-L186,RobotProtocolCode.GET_ROBOT_SYSTEM_VERSION (0x02),,,self._mesg(RobotProtocolCode.GET_ROBOT_SYSTEM_VERSION),Obtaining the Robot Firmware Version (Major and Minor Versions)
MyArmMControl,get_robot_tool_modify_version,self,pymycobot/myarmm_control.py:L188-L190,ProtocolCode.GET_ROBOT_TOOL_MODIFY_VERSION (0x04),,,self._mesg(ProtocolCode.GET_ROBOT_TOOL_MODIFY_VERSION),Get the remediation version of the bot tool
MyArmMControl,get_robot_tool_system_version,self,pymycobot/myarmm_control.py:L192-L194,RobotProtocolCode.GET_ROBOT_TOOL_SYSTEM_VERSION (0x09),,,self._mesg(RobotProtocolCode.GET_ROBOT_TOOL_SYSTEM_VERSION),Get the Robot Tool Firmware Version (End Atom)
MyArmMControl,power_on,self,pymycobot/myarmm_control.py:L196-L198,RobotProtocolCode.POWER_ON (0x10),,,self._mesg(RobotProtocolCode.POWER_ON),The robotic arm turns on the power
MyArmMControl,power_off,self,pymycobot/myarmm_control.py:L200-L202,RobotProtocolCode.POWER_OFF (0x11),,,self._mesg(RobotProtocolCode.POWER_OFF),The robotic arm turns off the power
MyArmMControl,is_powered_on,self,pymycobot/myarmm_control.py:L204-L212,RobotProtocolCode.IS_POWERED_ON (0x12),,,self._mesg(RobotProtocolCode.IS_POWERED_ON),Control core connection status queries /  / Return: /     1 - power on /     0 - power off /     -1 - error data
MyArmMControl,release_all_servos,"self, data=None",pymycobot/myarmm_control.py:L214-L223,ProtocolCode.RELEASE_ALL_SERVOS (0x13),,,"self._mesg(ProtocolCode.RELEASE_ALL_SERVOS); self._mesg(ProtocolCode.RELEASE_ALL_SERVOS, data)",The robot turns off the torque output /  / Args: /     data: 1 - Un damping (The default is damping)
MyArmMControl,set_fresh_mode,"self, mode",pymycobot/myarmm_control.py:L225-L234,ProtocolCode.SET_FRESH_MODE (0x16),mode=mode,,"self._mesg(ProtocolCode.SET_FRESH_MODE, mode)",Set command refresh mode /  / Args: /     mode: int. /         1 - Always execute the latest command first. /         0 - Execute instructions sequentially in the form of a queue.
MyArmMControl,get_fresh_mode,self,pymycobot/myarmm_control.py:L236-L238,ProtocolCode.GET_FRESH_MODE (0x17),,,self._mesg(ProtocolCode.GET_FRESH_MODE),Query sports mode
MyArmMControl,get_robot_status,self,pymycobot/myarmm_control.py:L240-L242,ProtocolCode.GET_ROBOT_STATUS (0x19),,,self._mesg(ProtocolCode.GET_ROBOT_STATUS),Get robot status
MyArmMControl,get_angles,self,pymycobot/myarmm_control.py:L244-L250,ProtocolCode.GET_ANGLES (0x20),,,self._mesg(ProtocolCode.GET_ANGLES),Get the angle of all joints. /  / Return: /     list: A float list of all angle.
MyArmMControl,write_angle,"self, joint_id, degree, speed",pymycobot/myarmm_control.py:L252-L261,ProtocolCode.SEND_ANGLE (0x21),"joint_id=joint_id, angle=degree, speed=speed",_angle2int,"self._mesg(ProtocolCode.SEND_ANGLE, joint_id, [self._angle2int(degree)], speed)",Send the angle of a joint to robot arm. /  / Args: /     joint_id: (int) 1 ~ 6 /     degree: (float) -150 ~ 150 /     speed : (int) 1 ~ 100
MyArmMControl,write_angles,"self, angles, speed",pymycobot/myarmm_control.py:L263-L272,ProtocolCode.SEND_ANGLES (0x22),"angles=angles, speed=speed",_angle2int,"self._mesg(ProtocolCode.SEND_ANGLES, angles, speed)",Send the angles of all joints to robot arm. /  / Args: /     angles: (list) A float list of all angle. /     speed : (int) 1 ~ 100
MyArmMControl,get_coords,self,pymycobot/myarmm_control.py:L274-L280,ProtocolCode.GET_COORDS (0x23),,,self._mesg(ProtocolCode.GET_COORDS),Get the coordinates of all joints. /  / Return: /     list: A float list of all coordinates.
MyArmMControl,write_coord,"self, coord_id, coord, speed",pymycobot/myarmm_control.py:L282-L292,ProtocolCode.SEND_COORD (0x24),"coord_id=coord_id, coord=coord, speed=speed",_coord2int; _angle2int,"self._mesg(ProtocolCode.SEND_COORD, coord_id, [value], speed)",Send the coordinates of a joint to robot arm. /  / Args: /     coord_id: (int) 1 ~ 6 /     coord: (float) -150 ~ 150 /     speed : (int) 1 ~ 100
MyArmMControl,write_coords,"self, coords, speed, mode=None",pymycobot/myarmm_control.py:L294-L311,ProtocolCode.SEND_COORDS (0x25),"coords=coords, speed=speed",_coord2int; _angle2int,"self._mesg(ProtocolCode.SEND_COORDS, coord_list, speed, mode); self._mesg(ProtocolCode.SEND_COORDS, coord_list, speed)","Send the coordinates of all joints to robot arm. /  / Args: /     coords: (list) A float list of all coordinates. /     speed : (int) 1 ~ 100 /     mode: (int) 0 - normal, 1 - low, 2 - high"
MyArmMControl,is_in_position,"self, data, mode=0",pymycobot/myarmm_control.py:L313-L339,ProtocolCode.IS_IN_POSITION (0x2A),coords=data; angles=data,_coord2int; _angle2int,"self._mesg(ProtocolCode.IS_IN_POSITION, data_list, mode)","Judge whether in the position. /  / Args: /     data: A data list, angles or coords. /             for myArm: angles len 7, coords len 6. /     mode: 1 - coords, 0 - angles /  / Return: /     1 - True /  /     0 - False /  /     -1 - Error"
MyArmMControl,is_moving,self,pymycobot/myarmm_control.py:L341-L349,ProtocolCode.IS_MOVING (0x2B),,,self._mesg(ProtocolCode.IS_MOVING),Detect if the robot is moving /  / Return: /     0 - not moving /     1 - is moving /     -1 - error data
MyArmMControl,jog_rpy,"self, end_direction, direction, speed",pymycobot/myarmm_control.py:L351-L360,ProtocolCode.JOG_ABSOLUTE (0x31),"direction=direction, speed=speed, end_direction=end_direction",,"self._mesg(ProtocolCode.JOG_ABSOLUTE, end_direction, direction, speed)","Rotate the end around a fixed axis in the base coordinate system /  / Args: /     end_direction (int):  Roll, Pitch, Yaw (1-3) /     direction (int): 1 - forward rotation, 0 - reverse rotation /     speed (int): 1 ~ 100"
MyArmMControl,jog_angle,"self, joint_id, direction, speed",pymycobot/myarmm_control.py:L363-L373,ProtocolCode.JOG_ANGLE (0x30),"joint_id=joint_id, direction=direction, speed=speed",,"self._mesg(ProtocolCode.JOG_ANGLE, joint_id, direction, speed)","Jog control angle. /  / Args: /     joint_id: int /             for myArm: Joint id 1 - 7. /     direction: 0 - decrease, 1 - increase /     speed: int (0 - 100)"
MyArmMControl,jog_coord,"self, coord_id, direction, speed",pymycobot/myarmm_control.py:L375-L384,ProtocolCode.JOG_COORD (0x32),"coord_id=coord_id, direction=direction, speed=speed",,"self._mesg(ProtocolCode.JOG_COORD, coord_id, direction, speed)","Jog control coord. /  / Args: /     coord_id: int 1 ~ 6 /     direction: 0 - decrease, 1 - increase /     speed: int (1 - 100)"
MyArmMControl,jog_increment,"self, joint_id, increment, speed",pymycobot/myarmm_control.py:L386-L396,ProtocolCode.JOG_INCREMENT (0x33),"joint_id=joint_id, angle=increment, speed=speed",_angle2int,"self._mesg(ProtocolCode.JOG_INCREMENT, joint_id, [self._angle2int(increment)], speed)",step mode /  / Args: /     joint_id(int): /         for myArm: Joint id 1 - 6. /     increment(int): incremental /     speed(int): int (0 - 100)
MyArmMControl,pause,self,pymycobot/myarmm_control.py:L398-L400,ProtocolCode.PAUSE (0x26),,,self._mesg(ProtocolCode.PAUSE),Pause movement
MyArmMControl,is_paused,self,pymycobot/myarmm_control.py:L402-L410,ProtocolCode.IS_PAUSED (0x27),,,self._mesg(ProtocolCode.IS_PAUSED),Judge whether the manipulator pauses or not. /  / Return: /     1 - paused /     0 - not paused /     -1 - error
MyArmMControl,resume,self,pymycobot/myarmm_control.py:L412-L414,ProtocolCode.RESUME (0x28),,,self._mesg(ProtocolCode.RESUME),Recovery movement
