symbol,hex,dec
RobotProtocolCode.GET_ROBOT_MODIFY_VERSION,0x01,1
RobotProtocolCode.GET_ROBOT_SYSTEM_VERSION,0x02,2
RobotProtocolCode.GET_ROBOT_TOOL_MODIFY_VERSION,0x04,4
RobotProtocolCode.GET_ROBOT_TOOL_SYSTEM_VERSION,0x09,9
POWER_ON,0x10,16
RobotProtocolCode.POWER_ON,0x10,16
POWER_OFF,0x11,17
RobotProtocolCode.POWER_OFF,0x11,17
IS_POWER_ON,0x12,18
RobotProtocolCode.IS_POWERED_ON,0x12,18
RELEASE_ALL_SERVOS,0x13,19
RobotProtocolCode.RELEASE_ALL_SERVOS,0x13,19
SET_FRESH_MODE,0x16,22
GET_FRESH_MODE,0x17,23
GET_ROBOT_STATUS,0x19,25
RobotProtocolCode.GET_ROBOT_STATUS,0x19,25
GET_ANGLES,0x20,32
SEND_ANGLE,0x21,33
SEND_ANGLES,0x22,34
GET_COORDS,0x23,35
SEND_COORD,0x24,36
SEND_COORDS,0x25,37
PAUSE,0x26,38
IS_PAUSED,0x27,39
RESUME,0x28,40
STOP,0x29,41
IS_IN_POSITION,0x2A,42
IS_MOVING,0x2B,43
JOG_ANGLE,0x30,48
JOG_COORD,0x32,50
JOG_INCREMENT,0x33,51
SET_ENCODER,0x3A,58
GET_ENCODER,0x3B,59
SET_ENCODERS,0x3C,60
GET_ENCODERS,0x3D,61
GET_JOINT_MIN_ANGLE,0x4A,74
GET_JOINT_MAX_ANGLE,0x4B,75
SET_JOINT_MIN,0x4C,76
SET_JOINT_MAX,0x4D,77
IS_SERVO_ENABLE,0x50,80
IS_ALL_SERVO_ENABLE,0x51,81
SET_SERVO_DATA,0x52,82
GET_SERVO_DATA,0x53,83
SET_SERVO_CALIBRATION,0x54,84
RELEASE_SERVO,0x56,86
FOCUS_SERVO,0x57,87
SET_DIGITAL_OUTPUT,0x61,97
GET_DIGITAL_INPUT,0x62,98
RobotProtocolCode.SET_GRIPPER_ENABLED,0x63,99
GET_GRIPPER_VALUE,0x65,101
SET_GRIPPER_STATE,0x66,102
SET_GRIPPER_VALUE,0x67,103
SET_GRIPPER_CALIBRATION,0x68,104
IS_GRIPPER_MOVING,0x69,105
SET_COLOR,0x6A,106
IS_TOOL_BTN_CLICKED,0x6B,107
SET_TOOL_REFERENCE,0x81,129
GET_TOOL_REFERENCE,0x82,130
SET_WORLD_REFERENCE,0x83,131
GET_WORLD_REFERENCE,0x84,132
SET_REFERENCE_FRAME,0x85,133
GET_REFERENCE_FRAME,0x86,134
SET_MOVEMENT_TYPE,0x87,135
GET_MOVEMENT_TYPE,0x88,136
SET_END_TYPE,0x89,137
GET_END_TYPE,0x8A,138
SET_BASIC_OUTPUT,0xA0,160
GET_BASIC_INPUT,0xA1,161
SET_SSID_PWD,0xB0,176
GET_SSID_PWD,0xB1,177
SET_SERVER_PORT,0xB2,178
GET_TOF_DISTANCE,0xC0,192
IS_SD_INSERT,0xC4,196
GET_PLAN_SPEED,0xD0,208
GET_PLAN_ACCELERATION,0xD1,209
SET_PLAN_SPEED,0xD2,210
SET_PLAN_ACCELERATION,0xD3,211
GET_SERVO_SPEED,0xE1,225
GET_SERVO_CURRENTS,0xE2,226
GET_SERVO_VOLTAGES,0xE3,227
GET_SERVO_STATUS,0xE4,228
GET_SERVO_TEMPS,0xE5,229
SET_VOID_COMPENSATE,0xE7,231
FOOTER,0xFA,250
HEADER,0xFE,254
