class,field,value,source
MyArmM,joint_id,"[1, 2, 3, 4, 5, 6, 7]",pymycobot/robot_info.py:L440-L457
MyArmM,servo_id,"[1, 2, 3, 4, 5, 6, 7, 8]",pymycobot/robot_info.py:L440-L457
MyArmM,angles_min,"[-165, -60, -90, -150, -91, -150, -118]",pymycobot/robot_info.py:L440-L457
MyArmM,angles_max,"[165, 95, 75, 150, 88, 150, 2]",pymycobot/robot_info.py:L440-L457
MyArmM,encoders_min,"[114, 1200, 1200, 1024, 286, 1013, 307, 706]",pymycobot/robot_info.py:L440-L457
MyArmM,encoders_max,"[3981, 2991, 2991, 3002, 3788, 3048, 3788, 2068]",pymycobot/robot_info.py:L440-L457
MyArmMControl,joint_id,"[1, 2, 3, 4, 5, 6]",pymycobot/robot_info.py:L440-L457
MyArmMControl,servo_id,"[1, 2, 3, 4, 5, 6, 7, 8]",pymycobot/robot_info.py:L440-L457
MyArmMControl,coord_id,"[1, 2, 3, 4, 5, 6]",pymycobot/robot_info.py:L440-L457
MyArmMControl,coord_min,"[-833.325, -833.325, -351.11, -180, -180, -180]",pymycobot/robot_info.py:L440-L457
MyArmMControl,coord_max,"[833.325, 833.325, 1007.225, 180, 180, 180]",pymycobot/robot_info.py:L440-L457
MyArmMControl,angles_min,"[-165, -80, -100, -160, -90, -180, -118]",pymycobot/robot_info.py:L440-L457
MyArmMControl,angles_max,"[165, 100, 80, 160, 120, 180, 2]",pymycobot/robot_info.py:L440-L457
MyArmMControl,encoders_min,"[137, 1163, 1035, 1013, 248, 979, 220, 706]",pymycobot/robot_info.py:L440-L457
MyArmMControl,encoders_max,"[4004, 2945, 3079, 3026, 3724, 2994, 3704, 2048]",pymycobot/robot_info.py:L440-L457
